gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	opentargets_label	rna.value
BCL10	ENSG00000142867	MONDO_0014491	MONDO_0005046	immune organ	13771.0
SCN4A	ENSG00000007314	MONDO_0100121	MONDO_0002081	musculature	13716.5
CAV1	ENSG00000105974	MONDO_0004976	MONDO_0005071	nerve	13667.0
KCNT1	ENSG00000107147	MONDO_0020072	MONDO_0005071	brain	13662.0
ADD3	ENSG00000148700	MONDO_0100516	MONDO_0005071	brain	13543.0
ITGA2B	ENSG00000005961	MONDO_0100326	MONDO_0005570	blood	13515.0
ITGA2B	ENSG00000005961	MONDO_0008552	MONDO_0005570	blood	13515.0
DNM2	ENSG00000079805	MONDO_0015626	MONDO_0005071	brain	13457.0
MALT1	ENSG00000172175	MONDO_0014197	MONDO_0005046	immune organ	13429.0
PIK3CD	ENSG00000171608	MONDO_0023655	MONDO_0005046	immune organ	13396.0
TMEM43	ENSG00000170876	MONDO_0011459	MONDO_0002081	skeletal element	13387.0
HYAL1	ENSG00000114378	MONDO_0011093	MONDO_0005066	liver	13368.5
UNC13D	ENSG00000092929	MONDO_0012146	MONDO_0005046	immune organ	13330.0
ACOX1	ENSG00000161533	MONDO_0030073	MONDO_0005066	liver	13298.0
ACOX1	ENSG00000161533	MONDO_0009919	MONDO_0005066	liver	13298.0
GYG1	ENSG00000163754	MONDO_0014526	MONDO_0002081	skeletal element	13256.0
USP9X	ENSG00000124486	MONDO_0020119	MONDO_0005071	brain	13239.0
TRIM63	ENSG00000158022	MONDO_0005045	MONDO_0002081	musculature	13232.5
PLAU	ENSG00000122861	MONDO_0011136	MONDO_0005570	blood	13120.0
ANXA11	ENSG00000122359	MONDO_0027694	MONDO_0005071	brain	13036.0
ADAR	ENSG00000160710	MONDO_0700261	MONDO_0003900	connective tissue	13017.0
CHD4	ENSG00000111642	MONDO_0000508	MONDO_0005071	brain	13013.5
NDUFS1	ENSG00000023228	MONDO_0009723	MONDO_0005071	brain	13010.5
NDUFS1	ENSG00000023228	MONDO_0044970	MONDO_0044970	brain	13010.5
NLGN3	ENSG00000196338	MONDO_0100148	MONDO_0005071	brain	12956.0
RBM20	ENSG00000203867	MONDO_0005021	MONDO_0004995	heart	12941.0
RBM20	ENSG00000203867	MONDO_0005045	MONDO_0004995	heart	12941.0
ARID1A	ENSG00000117713	MONDO_0015452	MONDO_0002081	skeletal element	12886.0
SMARCA2	ENSG00000080503	MONDO_0011053	MONDO_0005071	brain	12858.0
BRSK2	ENSG00000174672	MONDO_0100038	MONDO_0005071	brain	12853.0
LCK	ENSG00000182866	MONDO_0014334	MONDO_0005046	immune organ	12767.0
PIK3CG	ENSG00000105851	MONDO_0030717	MONDO_0005046	immune organ	12735.5
KCNMA1	ENSG00000156113	MONDO_0012276	MONDO_0005071	brain	12726.0
SGCD	ENSG00000170624	MONDO_0005021	MONDO_0004995	heart	12700.0
ZMIZ1	ENSG00000108175	MONDO_0100038	MONDO_0005071	brain	12680.0
SETD5	ENSG00000168137	MONDO_0800439	MONDO_0005071	brain	12666.0
LITAF	ENSG00000189067	MONDO_0015626	MONDO_0005071	spinal cord	12622.0
HSPB1	ENSG00000106211	MONDO_0011687	MONDO_0005071	brain	12579.0
ETFA	ENSG00000140374	MONDO_0009282	MONDO_0005066	endocrine gland	12532.5
LRPPRC	ENSG00000138095	MONDO_0009723	MONDO_0044970	musculature	12519.0
NDUFS2	ENSG00000158864	MONDO_0009723	MONDO_0044970	musculature	12515.0
NDUFS2	ENSG00000158864	MONDO_0044970	MONDO_0044970	musculature	12515.0
DECR1	ENSG00000104325	MONDO_0014464	MONDO_0005066	endocrine gland	12506.5
TRIO	ENSG00000038382	MONDO_0000508	MONDO_0005071	brain	12506.0
MYPN	ENSG00000138347	MONDO_0005021	MONDO_0004995	heart	12501.0
MYPN	ENSG00000138347	MONDO_0005045	MONDO_0004995	heart	12501.0
IRF2BPL	ENSG00000119669	MONDO_0005559	MONDO_0005071	brain	12474.0
CARMIL2	ENSG00000159753	MONDO_0029134	MONDO_0005046	immune organ	12408.0
SASH3	ENSG00000122122	MONDO_0010730	MONDO_0005046	immune organ	12249.5
VPS35	ENSG00000069329	MONDO_0005180	MONDO_0005071	brain	12243.0
OPTN	ENSG00000123240	MONDO_0013264	MONDO_0005071	brain	12233.0
MYT1L	ENSG00000186487	MONDO_0000508	MONDO_0005071	brain	12229.0
PRKCSH	ENSG00000130175	MONDO_0008265	MONDO_0005151	endocrine gland	12212.5
BACH2	ENSG00000112182	MONDO_0032723	MONDO_0005046	immune organ	12194.0
